,0
1,Kilogram (kg)
2,Gram
3,Litre
4,Small cup with handle (Akendo)
5,Metre
6,Square metre
7,Yard
8,Millilitre
9,Sack (120 kgs)
10,Sack (100 kgs)
11,Sack (80 kgs)
12,Sack (50 kgs)
13,Sack (unspecified)
14,Jerrican (20 lts)
15,Jerrican (10 lts)
16,Jerrican (5 lts)
17,Jerrican (3 lts)
18,Jerrican (2 lts)
19,Jerrican (1 lt)
20,Tin (20 lts)
21,Tin (5 lts)
22,Plastic Basin (15 lts)
23,Bottle (750 ml)
24,Bottle (500 ml)
25,Bottle (350 ml)
26,Bottle (300 ml)
27,Bottle (250 ml)
28,Bottle (150 ml)
29,Kimbo/Cowboy/Blueband Tin (2 kg)
30,Kimbo/Cowboy/Blueband Tin (1 kg)
31,Kimbo/Cowboy/Blueband Tin (0.5 kg)
32,Cup/Mug (0.5 lt)
33,Glass (0.25 lt)
34,Ladle (100 g)
35,Table spoon
36,Tea spoon
37,Basket (20 kg)
38,Basket (10 kg)
39,Basket (5 kg)
40,Basket (2 kg)
41,Loaf (1 kg)
42,Loaf (500 g)
43,Buns (200 g)
44,Buns (100 g)
45,Buns (50 g)
46,Bathing soap (Tablet)
47,Washing soap (Bar)
48,Washing soap (Tablet)
49,Packet (2 kg)
50,Packet (1 kg)
51,Packet (500 g)
52,Packet (250 g)
53,Packet (100 g)
54,Packet (Unspecified)
55,Fish - Whole (Up to 1 kg)
56,Fish - Whole (1   2 kg)
57,Fish - Whole (Above 2 kg)
58,Fish   Cut piece (Up to 1 kg)
59,Fish   Cut piece (1   2 kg)
60,Fish   Cut piece (Above 2  kg)
61,Tray of 30 eggs
62,Ream
63,Crate
64,Heap (Unspecified)
65,Dozen
66,Bundle (Unspecified)
67,Bunch (Big)
68,Bunch (Medium)
69,Bunch (Small)
70,Cluster (Unspecified)
71,Gourd (1 - 5 lts)
72,Gourd (5 - 10 lts)
73,Gourd (Above 10 lts)
74,Gologolo (4   5 lts)
75,Calabash (1   5 lts)
76,Calabash (Above 5 lts)
77,Jug (2 lts)
78,Jug (1.5 lts)
79,Jug (1 lt)
80,Tot (50 ml)
81,Tot (sachet)
82,Tot (Unspecified)
83,Tobacco leaf (Number)
84,Pair
85,Number of Units (General)
88,nice cup
89,nice cup
90,3 litre basin
91,5 litre basin
92,litre soda bottle
93,litre soda bottle
86,Acre
99,Other Units (Specify)
