pair,t,j,n_cells,median_gap,ratio,in_30_50
community_price_vs_own_consumption_valuation,1991-92,Cassava,2,-0.12732110918679007,0.8804509063256241,False
community_price_vs_own_consumption_valuation,1991-92,Chicken,5,-0.12565721414045328,0.8819171036881966,False
community_price_vs_own_consumption_valuation,1991-92,Cocoyam,3,-0.13976194237515926,0.8695652173913039,False
community_price_vs_own_consumption_valuation,1991-92,Eggplant/Cucumber,1,1.3862943611198904,3.999999999999999,False
community_price_vs_own_consumption_valuation,1991-92,Fish (fresh and frozen),1,0.9162907318741551,2.5,False
community_price_vs_own_consumption_valuation,1991-92,Goat,2,-0.9253254935281237,0.3964023716675736,False
community_price_vs_own_consumption_valuation,1991-92,Maize (flour/dough),1,0.2231435513142097,1.25,False
community_price_vs_own_consumption_valuation,1991-92,Oil (palm kernel),7,0.0,1.0,False
community_price_vs_own_consumption_valuation,1991-92,Okra,1,0.2876820724517808,1.3333333333333333,True
community_price_vs_own_consumption_valuation,1991-92,Onion,1,1.1717035437571504,3.227486121839514,False
community_price_vs_own_consumption_valuation,1991-92,Other Meat,1,0.04715533973562103,1.0482848367219186,False
community_price_vs_own_consumption_valuation,1991-92,Palm Nut,2,0.5877761151247176,1.7999810105008451,False
community_price_vs_own_consumption_valuation,1991-92,Plantain,1,1.1086626245216111,3.0303030303030303,False
community_price_vs_own_consumption_valuation,1991-92,Pork,1,-1.09861228866811,0.3333333333333332,False
community_price_vs_own_consumption_valuation,1991-92,Tomato,1,2.0794415416798357,7.999999999999998,False
community_price_vs_own_consumption_valuation,1991-92,Yam,1,-0.35899611027852973,0.6983770678385655,False
community_price_vs_own_consumption_valuation,1998-99,Chicken,10,0.8731637480377481,2.3944743963164132,False
community_price_vs_own_consumption_valuation,1998-99,Goat,1,0.7843079589569228,2.1908902300206647,False
community_price_vs_own_consumption_valuation,1998-99,Oil (palm kernel),6,0.18864711557073388,1.2076147288491197,False
community_price_vs_own_consumption_valuation,1998-99,Other Meat,4,1.3438367545094518,3.8337243832101002,False
community_price_vs_own_consumption_valuation,1998-99,Pork,1,0.939939089225688,2.5598254926276827,False
